Date,Open,High,Low,Close,Adj Close,Volume,MACD,MACDsig,MACDhist,EMA,EMA_short,EMA_long,EMA_x,buy_sig,sell_sig,buy_sig_EMA,sell_sig_EMA,Volume_MA_short,Volume_MA_long,buy_sig_adj,sell_sig_adj
2021-01-04,1.1399999856948853,1.1399999856948853,1.100000023841858,1.100000023841858,1.0355300903320312,758829895,,,,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,,,,,758829895.0,758829895.0,,
2021-01-05,1.0800000429153442,1.1799999475479126,1.0299999713897705,1.159999966621399,1.092013597488403,1781934238,,,,1.1150000095367432,1.105714304106576,1.1023529627743889,1.1005970381978734,,,,,1270382066.5,1270382066.5,,
2021-01-06,1.149999976158142,1.149999976158142,1.0800000429153442,1.1200000047683716,1.0543580055236816,1291957261,,,,1.1162500083446503,1.1070748470267469,1.103045003636898,1.1007901025418585,,,,,1277573798.0,1277573798.0,,
2021-01-07,1.100000023841858,1.1100000143051147,1.0800000429153442,1.100000023841858,1.0355300903320312,460040320,,,,1.1121875122189522,1.1064010543424716,1.1029255926645434,1.1007822410622565,,,,,1073190428.5,1073190428.5,,
2021-01-08,1.090000033378601,1.1100000143051147,1.059999942779541,1.059999942779541,0.99787437915802,840344680,,,,1.0991406198590994,1.1019819008602878,1.1012422338455237,1.1003764470494932,,,,,1026621278.8,1026621278.8,,
2021-01-11,1.059999942779541,1.1100000143051147,1.059999942779541,1.100000023841858,1.0355300903320312,590420417,,,,1.099355470854789,1.1017931506680563,1.101193519727733,1.1003727015449396,,,,1.100000023841858,953921135.1666666,953921135.1666666,,
2021-01-12,1.100000023841858,1.149999976158142,1.090000033378601,1.1200000047683716,1.0543580055236816,903179650,,,,1.1045166043331847,1.103527136772848,1.1019310289450128,1.1005679980944265,,,,,946672351.5714285,946672351.5714285,,
2021-01-13,1.1200000047683716,1.149999976158142,1.1200000047683716,1.1200000047683716,1.0543580055236816,326001273,,,,1.1083874544419814,1.1050959813438503,1.1026396162322034,1.1007613513946648,,,,,869088466.75,869088466.75,,
2021-01-14,1.1200000047683716,1.1299999952316284,1.1100000143051147,1.1200000047683716,1.0543580055236816,360142302,,,,1.111290592023579,1.1065154121461858,1.1033204157826413,1.1009527807814679,,,,,812538892.8888888,812538892.8888888,,
2021-01-15,1.1200000047683716,1.1399999856948853,1.1200000047683716,1.1200000047683716,1.0543580055236816,333428613,,,,1.113467945209777,1.1077996590625843,1.1039745173114934,1.101142305398253,,,,,764627864.9,764627864.9,,
2021-01-18,1.1200000047683716,1.2000000476837158,1.1200000047683716,1.190000057220459,1.1202553510665894,1265592251,,,,1.1326009732124476,1.115628268410953,1.107348067896159,1.1020264621328024,,,,,810170081.8181819,810170081.8181819,,
2021-01-19,1.2200000286102295,1.2999999523162842,1.2200000286102295,1.2899999618530271,1.2143943309783936,2527492054,,,,1.1719507203725925,1.1322350963578172,1.1145108872670166,1.1038968452145956,,,,,953280246.1666666,953280246.1666666,,
2021-01-20,1.2799999713897705,1.2899999618530271,1.2300000190734863,1.25,1.176738739013672,1410414789,,,,1.1914630402794444,1.1434508014665965,1.119824185805565,1.1053506079487787,,,1.25,,988444441.7692307,988444441.7692307,,
2021-01-21,1.2599999904632568,1.2799999713897705,1.2300000190734863,1.2300000190734863,1.157910943031311,581398822,,,,1.2010972849779549,1.1516935840958242,1.1241448067180326,1.1065909005967858,,,,,959369754.6428572,959369754.6428572,,
2021-01-22,1.2300000190734863,1.2300000190734863,1.1699999570846558,1.190000057220459,1.1202553510665894,726012097,,,,1.198322978038581,1.1553418196315037,1.126727365561265,1.107420842453738,,,,,943812577.4666667,943812577.4666667,,
2021-01-25,1.190000057220459,1.2000000476837158,1.149999976158142,1.159999966621399,1.092013597488403,799147839,,,,1.1887422251842854,1.1557854526781606,1.1280321734459762,1.1079440178185904,,,,,934771031.3125,934771031.3125,,
2021-01-26,1.149999976158142,1.1799999475479126,1.1299999952316284,1.1299999952316284,1.0637718439102173,558309465,,,,1.1740566676961213,1.1533296948261098,1.1281093429277664,1.1081634802804117,,,,,912626233.2941177,912626233.2941177,,
2021-01-27,1.1299999952316284,1.190000057220459,1.1100000143051147,1.1699999570846558,1.101427435874939,1188480940,,,,1.173042490043255,1.1549173388507332,1.1297521121103895,1.108778768606822,,,,,927951494.7777778,927951494.7777778,,
2021-01-28,1.149999976158142,1.2200000286102295,1.149999976158142,1.159999966621399,1.092013597488403,739067833,,,,1.169781859187791,1.1554013986384157,1.1309383024833704,1.1092884322686587,,,,,918010249.4210526,918010249.4210526,,
