Date,Open,High,Low,Close,Adj Close,Volume,MACD,MACDsig,MACDhist,EMA,EMA_short,EMA_long,EMA_x,buy_sig,sell_sig,buy_sig_EMA,sell_sig_EMA,Volume_MA_short,Volume_MA_long,buy_sig_adj,sell_sig_adj
2022-01-03,8.600000381469727,8.619999885559082,8.420000076293945,8.470000267028809,8.258119583129883,16782381,,,,8.470000267028809,8.470000267028809,8.470000267028809,8.470000267028809,,,,,16782381.0,16782381.0,,
2022-01-04,8.569999694824219,8.75,8.470000267028809,8.649999618530273,8.433615684509277,42764858,,,,8.515000104904175,8.487143062409901,8.477059065126905,8.471791305352207,,,,,29773619.5,29773619.5,,
2022-01-05,8.649999618530273,8.680000305175781,8.319999694824219,8.420000076293945,8.209369659423828,33779987,,,,8.491250097751617,8.480748492303618,8.474821457721692,8.471275969739688,,,,,31109075.333333332,31109075.333333332,,
2022-01-06,8.350000381469727,8.649999618530273,8.319999694824219,8.609999656677246,8.394617080688477,35648859,,,,8.520937487483025,8.493058127005868,8.480122563563087,8.472656304933096,,,,,32244021.25,32244021.25,,
2022-01-07,8.609999656677246,8.84000015258789,8.59000015258789,8.779999732971191,8.560364723205566,38948575,,,,8.585703048855066,8.520385899002566,8.491882452559484,8.475714448495665,,,,,33584932.0,33584932.0,,
2022-01-10,9.0,9.43000030517578,8.880000114440918,9.31999969482422,9.0868558883667,67141117,,,,8.769277210347354,8.596539593842724,8.52435763853065,8.48411529671784,,,,,39177629.5,39177629.5,,
2022-01-11,9.31999969482422,9.40999984741211,9.149999618530272,9.25,9.018606185913086,40286145,,,,8.889457907760516,8.658773918238655,8.552814201725528,8.49173604003408,,,,,39335988.85714286,39335988.85714286,,
2022-01-12,9.270000457763672,9.470000267028809,9.100000381469728,9.239999771118164,9.008856773376465,35047758,,,,8.977093373599928,8.714128761370036,8.579762655427201,8.499181450293625,,,,,38799960.0,38799960.0,,
2022-01-13,9.239999771118164,9.4399995803833,9.18000030517578,9.350000381469728,9.116106033325195,31193002,,,,9.070320125567378,8.774687963284293,8.609968056448476,8.507647310305327,,,,,37954742.44444445,37954742.44444445,,
2022-01-14,9.369999885559082,9.850000381469728,9.300000190734863,9.600000381469728,9.359851837158203,66182773,,,,9.202740189542965,8.85328914596862,8.648792853508134,8.518516495093033,,,9.600000381469728,,40777545.5,40777545.5,,
2022-01-17,9.75,10.0600004196167,9.699999809265137,9.899999618530272,9.65234661102295,69422792,,,,9.377055046789792,8.95297585764116,8.697859785469786,8.532262595823752,,,,,43381658.81818182,43381658.81818182,,
2022-01-18,9.84000015258789,9.920000076293944,9.539999961853027,9.579999923706056,9.340352058410645,34249295,,,,9.427791266018858,9.012692435361625,8.732453516381014,8.542687842867359,,,,,42620628.5,42620628.5,,
2022-01-19,9.640000343322754,9.770000457763672,9.479999542236328,9.720000267028809,9.476849555969238,26194196,,,,9.500843516271345,9.080055085996596,8.771180839935829,8.554402394351552,,,,,41357056.76923077,41357056.76923077,,
2022-01-20,9.899999618530272,9.899999618530272,9.600000381469728,9.789999961853027,9.545098304748535,36378868,,,,9.573132627666766,9.147668883697209,8.811134530991405,8.566696897510772,,,,,41001471.85714286,41001471.85714286,,
